"...1","id","Autor","titulo","fecha","Técnica","soporte","dimension","procedencia","url_ficha","url","path","tweet","tweetsize","tuiteadoya"
1247,"P004421","Eugenio Lucas Velázquez","La suerte de varas","Hacia 1855","Óleo","Lienzo","Alto: 56 cm.; Ancho: 77 cm.","Donación de María de los Ángeles Sainz de la Cuesta al Museo de Arte Moderno, 1968","https://www.museodelprado.es/coleccion/obra-de-arte/la-suerte-de-varas/96dea6b7-329b-490c-830d-574c8d2e4bc9?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/96/96de/96dea6b7-329b-490c-830d-574c8d2e4bc9/3983d834-0d51-4fe2-be91-ae4623998a02.jpg","data/images/P004421.jpg","La suerte de varas - Eugenio Lucas Velázquez (Hacia 1855)  https://www.museodelprado.es/coleccion/obra-de-arte/la-suerte-de-varas/96dea6b7-329b-490c-830d-574c8d2e4bc9?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
652,"P002755","Willem Claesz Heda","Bodegón con vaso de plata y reloj","1633","Óleo","Tabla","Alto: 52 cm.; Ancho: 74 cm.","Legado Pedro Fernández Durán y Bernaldo de Quirós, 1931","https://www.museodelprado.es/coleccion/obra-de-arte/bodegon-con-vaso-de-plata-y-reloj/020d4eb3-3256-4ffe-84ae-a084d4ba59aa?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/02/020d/020d4eb3-3256-4ffe-84ae-a084d4ba59aa/e7df79ec-6cc5-46a0-928f-912ff73ba40b.jpg","data/images/P002755.jpg","Bodegón con vaso de plata y reloj - Willem Claesz Heda (1633)  https://www.museodelprado.es/coleccion/obra-de-arte/bodegon-con-vaso-de-plata-y-reloj/020d4eb3-3256-4ffe-84ae-a084d4ba59aa?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1796,"E000187","Taller romano","El emperador Clodio Albino","193 - 196","Esculpido","Mármol","Alto: 88 cm.; Ancho: 69 cm.; Fondo: 31 cm.; Peso: 115 Kg.","Colección Real","https://www.museodelprado.es/coleccion/obra-de-arte/el-emperador-clodio-albino/994cfb91-4ceb-427a-8c10-50d07bcae713?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/99/994c/994cfb91-4ceb-427a-8c10-50d07bcae713/dca1381a-9bbc-4607-8e73-6d7631ab5d30.jpg","data/images/E000187.jpg","El emperador Clodio Albino - Taller romano (193 - 196)  https://www.museodelprado.es/coleccion/obra-de-arte/el-emperador-clodio-albino/994cfb91-4ceb-427a-8c10-50d07bcae713?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
779,"P002589","Carlo Ceresa","Retrato de caballero","1645 - 1650","Óleo","Lienzo","Alto: 62 cm.; Ancho: 51 cm.","Legado Virginia Woodbury Lowery, duquesa de Arcos, 1935","https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-caballero/53bc01dc-911d-490d-985a-7b2415e80818?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/53/53bc/53bc01dc-911d-490d-985a-7b2415e80818/1968be78-7080-4089-bf05-1f78e9945a49.jpg","data/images/P002589.jpg","Retrato de caballero - Carlo Ceresa (1645 - 1650)  https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-caballero/53bc01dc-911d-490d-985a-7b2415e80818?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
254,"P002219","Hans Baldung Grien","La Armonía (¿Las tres Gracias?)","1541 - 1544","Óleo","Tabla","Alto: 151 cm.; Ancho: 61 cm.","Colección Real (Real Alcázar, Madrid, Pinturas que estan colgadas en la pieça de la Contaduria, 1598-1607, s.n.; Palacio Nuevo, Madrid, tercera pieza de librería, 1814-1818, s.n.; Real Museo de Pinturas a la muerte de Fernando VII, Madrid, Sala Reservada, 1834, nº5)","https://www.museodelprado.es/coleccion/obra-de-arte/la-armonia-las-tres-gracias/e909e7a1-1591-4bc1-a357-119c9b9d8eaa?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/e9/e909/e909e7a1-1591-4bc1-a357-119c9b9d8eaa/d7b600f8-814c-4086-a8a9-19fef2cfb601.jpg","data/images/P002219.jpg","La Armonía (¿Las tres Gracias?) - Hans Baldung Grien (1541 - 1544)  https://www.museodelprado.es/coleccion/obra-de-arte/la-armonia-las-tres-gracias/e909e7a1-1591-4bc1-a357-119c9b9d8eaa?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
398,"P000806","El Greco","Caballero anciano","1587 - 1600","Óleo","Lienzo","Alto: 46 cm.; Ancho: 43 cm.","Colección Real (Real Alcázar, 1666, [núm. 476], 1686 y 1701).","https://www.museodelprado.es/coleccion/obra-de-arte/caballero-anciano/a46bb621-3044-4b0f-97c8-8e5997856515?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/a4/a46b/a46bb621-3044-4b0f-97c8-8e5997856515/4f964db5-0305-4181-98cf-992ccd1e39af.jpg","data/images/P000806.jpg","Caballero anciano - El Greco (1587 - 1600)  https://www.museodelprado.es/coleccion/obra-de-arte/caballero-anciano/a46bb621-3044-4b0f-97c8-8e5997856515?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1368,"D006068/008","Francisco de Goya y Lucientes","Apunte de figura con manto. Receta de aglutinante de pigmentos","Hacia 1771","Lápiz negro; Pluma; Tinta de hollín","Papel verjurado","Alto: 187 mm.; Ancho: 130 mm.","Colección particular, Palma de Mallorca; Edmund Peel & Asociados, Madrid, 1993; Fervisa S.A, herencia de Manuel Villaescusa, Madrid, 1993; Museo del Prado, 1993.","https://www.museodelprado.es/coleccion/obra-de-arte/apunte-de-figura-con-manto-receta-de-aglutinante/8228a439-7905-471a-a297-7c055d51f686?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/82/8228/8228a439-7905-471a-a297-7c055d51f686/ee3680f7-e3a8-42ab-88d5-757d7d91d232.jpg","data/images/D006068-008.jpg","Apunte de figura con manto. Receta de aglutinante de pigmentos - Francisco de Goya y Lucientes (Hacia 1771)  https://www.museodelprado.es/coleccion/obra-de-arte/apunte-de-figura-con-manto-receta-de-aglutinante/8228a439-7905-471a-a297-7c055d51f686?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
858,"P001192","Juan Bautista Martínez del Mazo","La infanta doña Margarita de Austria","Hacia 1665","Óleo","Lienzo","Alto: 212 cm.; Ancho: 147 cm.","Colección Real (Palacio Real Nuevo, Madrid, tercera pieza de la Furriera, 1747, nº 159; Palacio Real Nuevo, Madrid, paso del cuarto del señor infante don Luis, 1772, nº 159; Palacio Real Nuevo, Madrid, cuarto del príncipe-cámara, 1794, nº 159).","https://www.museodelprado.es/coleccion/obra-de-arte/la-infanta-doa-margarita-de-austria/88462bf7-a4f2-4238-901e-8541105293d5?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/88/8846/88462bf7-a4f2-4238-901e-8541105293d5/1a90f63c-e939-4eb2-b810-6a0d1c1f2544.jpg","data/images/P001192.jpg","La infanta doña Margarita de Austria - Juan Bautista Martínez del Mazo (Hacia 1665)  https://www.museodelprado.es/coleccion/obra-de-arte/la-infanta-doa-margarita-de-austria/88462bf7-a4f2-4238-901e-8541105293d5?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
2123,"O000102","Taller de los Miseroni","Salvilla de cristal ovalada","1600 - 1610","Cincelado; Esmaltado; Grabado","Cristal de roca / cuarzo hialino; Plata dorada","Alto: 2,5 cm.; Ancho: 25 cm.; Fondo: 20,5 cm.; Peso: 611 g.; Ancho base: 11,5 cm.; Fondo base: 6,8 cm.","Colección Real","https://www.museodelprado.es/coleccion/obra-de-arte/salvilla-de-cristal-ovalada/c4d6d5b4-250d-4427-bc44-aff44dd77685?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/c4/c4d6/c4d6d5b4-250d-4427-bc44-aff44dd77685/3a1ba5e5-de6a-45b2-bab4-223a54c182a8.jpg","data/images/O000102.jpg","Salvilla de cristal ovalada - Taller de los Miseroni (1600 - 1610)  https://www.museodelprado.es/coleccion/obra-de-arte/salvilla-de-cristal-ovalada/c4d6d5b4-250d-4427-bc44-aff44dd77685?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
696,"P000093","Aniello Falcone","Soldados romanos en el circo","Hacia 1640","Óleo","Lienzo","Alto: 92 cm.; Ancho: 183 cm.","Colección Real (Palacio del Buen Retiro, 1794, nº 233; Palacio Real Nuevo, Madrid, secretaría de Estado, 1814-1818, nº 233)","https://www.museodelprado.es/coleccion/obra-de-arte/soldados-romanos-en-el-circo/fe2e8798-dcb1-4309-bbab-ec96cdd0623b?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/fe/fe2e/fe2e8798-dcb1-4309-bbab-ec96cdd0623b/11393065-5194-44f3-9b7d-0fcb03599cd7.jpg","data/images/P000093.jpg","Soldados romanos en el circo - Aniello Falcone (Hacia 1640)  https://www.museodelprado.es/coleccion/obra-de-arte/soldados-romanos-en-el-circo/fe2e8798-dcb1-4309-bbab-ec96cdd0623b?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
569,"P008063","Alejandro de Loarte","La gallinera","1626","Óleo","Lienzo","Alto: 166 cm.; Ancho: 128 cm.","Colección Marina Carasso; adquisición del Estado a través de dación para el Museo del Prado, 2011.","https://www.museodelprado.es/coleccion/obra-de-arte/la-gallinera/9bff2bf7-b7ac-4369-9793-6134389616c5?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/9b/9bff/9bff2bf7-b7ac-4369-9793-6134389616c5/f4bafd50-9ab6-42bc-b0da-3a1035b14788.jpg","data/images/P008063.jpg","La gallinera - Alejandro de Loarte (1626)  https://www.museodelprado.es/coleccion/obra-de-arte/la-gallinera/9bff2bf7-b7ac-4369-9793-6134389616c5?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1302,"P007478","Carlos de Haes","Rompientes (Guéthary)","Hacia 1881","Óleo","Lienzo pegado a lienzo","Alto: 39 cm.; Ancho: 61 cm.","Donación de los discípulos de Carlos de Haes con destino al Museo de Arte Moderno, 1899; Museo de Arte Moderno, 1899-1971","https://www.museodelprado.es/coleccion/obra-de-arte/rompientes-guethary/47011d81-3b30-45f9-9ded-f0293683f28e?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/47/4701/47011d81-3b30-45f9-9ded-f0293683f28e/a58656f7-24f2-45eb-9e2f-1f2b05ad7b47.jpg","data/images/P007478.jpg","Rompientes (Guéthary) - Carlos de Haes (Hacia 1881)  https://www.museodelprado.es/coleccion/obra-de-arte/rompientes-guethary/47011d81-3b30-45f9-9ded-f0293683f28e?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
27,"P007287","Anónimo","Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo","Siglo XII","Pintura al fresco","Revestimiento mural trasladado a lienzo","Alto: 190 cm.; Ancho: 274 cm.","Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.","https://www.museodelprado.es/coleccion/obra-de-arte/cuatro-apostoles-pintura-mural-de-la-ermita-de-la/5e7a1392-df41-4a25-bc54-14a0ab53dfba?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/5e/5e7a/5e7a1392-df41-4a25-bc54-14a0ab53dfba/ae107ed7-ebbd-4116-a136-5d83a9ba1ce4.jpg","data/images/P007287.jpg","Cuatro apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo - Anónimo (Siglo XII)  https://www.museodelprado.es/coleccion/obra-de-arte/cuatro-apostoles-pintura-mural-de-la-ermita-de-la/5e7a1392-df41-4a25-bc54-14a0ab53dfba?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
535,"P000354","Bernardo Strozzi","La Verónica","1620 - 1625","Óleo","Lienzo","Alto: 168 cm.; Ancho: 118 cm.","Colección Real (colección Isabel de Farnesio, Palacio de La Granja de San Ildefonso, Segovia, 1746, nº 1094; La Granja, dormitorio de sus altezas, 1766, nº 1094; Palacio de Aranjuez, Madrid, pieza en que está el oratorio, 1794, nº 1094; Aranjuez, oratorio de la reina, 1818, nº 1094).","https://www.museodelprado.es/coleccion/obra-de-arte/la-veronica/9d1f3d2a-bed6-4da0-90c7-faba719985ed?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/9d/9d1f/9d1f3d2a-bed6-4da0-90c7-faba719985ed/07064ab1-2b6f-454f-a529-59e292391e4a.jpg","data/images/P000354.jpg","La Verónica - Bernardo Strozzi (1620 - 1625)  https://www.museodelprado.es/coleccion/obra-de-arte/la-veronica/9d1f3d2a-bed6-4da0-90c7-faba719985ed?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
264,"P000428","Vecellio di Gregorio Tiziano","Salomé","Hacia 1550","Óleo","Lienzo","Alto: 87 cm.; Ancho: 80 cm.","Colección I Marqués de Leganés, 1652-55; Colección Real (Adquirido en la Testamentaría del I Marqués de Leganés, 1652-1655; Real Alcázar, Madrid, 1666; Palacio Real Nuevo, Madrid, secretaría de Estado, 1814-1818, nº 659?).","https://www.museodelprado.es/coleccion/obra-de-arte/salome/0f359b90-2055-4326-bbbe-775dbfa7c504?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/0f/0f35/0f359b90-2055-4326-bbbe-775dbfa7c504/ea16571c-2e85-4603-9a17-69f777ef7449.jpg","data/images/P000428.jpg","Salomé - Vecellio di Gregorio Tiziano (Hacia 1550)  https://www.museodelprado.es/coleccion/obra-de-arte/salome/0f359b90-2055-4326-bbbe-775dbfa7c504?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
855,"P002809","Bartolomé Esteban Murillo","La Inmaculada Concepción de los Venerables","1660 - 1665","Óleo","Lienzo","Alto: 274 cm.; Ancho: 190 cm.","Colección Justino de Neve, Sevilla, 1685; adquirido por el Hospital de los Venerables Sacerdotes de Sevilla, 1686; Alcázar de Sevilla, 1810; colección del mariscal Soult, París, 1813-1852; adquirido por el Musée du Louvre, 1852; ingresa en el Museo del Prado por permuta con el estado francés, 1941.","https://www.museodelprado.es/coleccion/obra-de-arte/la-inmaculada-concepcion-de-los-venerables/76179d81-beaf-4f9e-9a05-ef92340a00d1?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/76/7617/76179d81-beaf-4f9e-9a05-ef92340a00d1/494c50d0-e4f1-4616-8675-704ec8e9edc8.jpg","data/images/P002809.jpg","La Inmaculada Concepción de los Venerables - Bartolomé Esteban Murillo (1660 - 1665)  https://www.museodelprado.es/coleccion/obra-de-arte/la-inmaculada-concepcion-de-los-venerables/76179d81-beaf-4f9e-9a05-ef92340a00d1?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1012,"P008113","Anton Rafael Mengs","Retrato de José Nicolás de Azara","1774","Óleo","Tabla","Alto: 77 cm.; Ancho: 61,5 cm.","José Nicolás de Azara, I marqués de Nibbiano; por herencia pasó a sus descendientes: en 1840, II marqués de Nibbiano (Barbuñales, Huesca); en 1923 fue ofrecido en depósito al Museo del Prado por José Jordán de Urríes y Azara (Barbuñales, Huesca); adquirido por el Estado a la casa de Subastas Bonhams, Londres, para el Museo del Prado, en 2012","https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-jose-nicolas-de-azara/e9d062b2-0ba1-4923-9285-9d747dd48989?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/e9/e9d0/e9d062b2-0ba1-4923-9285-9d747dd48989/80aff968-7881-4c99-86d4-28b1f73ff5d3.jpg","data/images/P008113.jpg","Retrato de José Nicolás de Azara - Anton Rafael Mengs (1774)  https://www.museodelprado.es/coleccion/obra-de-arte/retrato-de-jose-nicolas-de-azara/e9d062b2-0ba1-4923-9285-9d747dd48989?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
327,"P000427","Vecellio di Gregorio Tiziano","Ticio","Hacia 1565","Óleo","Lienzo","Alto: 253 cm.; Ancho: 217 cm.","Colección Real (Real Alcázar, Madrid, salón de los espejos-cuartos principales, 1700, nº 3; Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 31; Palacio Real Nuevo, Madrid, antecámara de su majestad, 1772, nº 31; Palacio Real Nuevo, Madrid, antecámara, 1794, nº 31; Palacio Real, Madrid, antecámara, 1814-1818, nº 31).","https://www.museodelprado.es/coleccion/obra-de-arte/ticio/68555098-f6fd-453f-ab0a-859385ce3b3a?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/68/6855/68555098-f6fd-453f-ab0a-859385ce3b3a/c0968ee8-f226-4450-9a41-3e7c29630327.jpg","data/images/P000427.jpg","Ticio - Vecellio di Gregorio Tiziano (Hacia 1565)  https://www.museodelprado.es/coleccion/obra-de-arte/ticio/68555098-f6fd-453f-ab0a-859385ce3b3a?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1385,"D006068/032","Francisco de Goya y Lucientes","Aparición de Dios Padre a Abraham, contradibujo","Hacia 1771","Sanguina","Papel verjurado","Alto: 187 mm.; Ancho: 130 mm.","Colección particular, Palma de Mallorca; Edmund Peel & Asociados, Madrid, 1993; Fervisa S.A, herencia de Manuel Villaescusa, Madrid, 1993; Museo del Prado, 1993.","https://www.museodelprado.es/coleccion/obra-de-arte/aparicion-de-dios-padre-a-abraham-contradibujo/bba3a2e8-f4f3-4e8a-8307-0457f9f15c54?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/bb/bba3/bba3a2e8-f4f3-4e8a-8307-0457f9f15c54/a47ecd52-a5ae-419a-9b77-9d863c6274a4.jpg","data/images/D006068-032.jpg","Aparición de Dios Padre a Abraham, contradibujo - Francisco de Goya y Lucientes (Hacia 1771)  https://www.museodelprado.es/coleccion/obra-de-arte/aparicion-de-dios-padre-a-abraham-contradibujo/bba3a2e8-f4f3-4e8a-8307-0457f9f15c54?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
76,"P001921","Petrus Christus","La Virgen con el Niño","Hacia 1450","Óleo","Tabla","Alto: 49 cm.; Ancho: 34 cm.","Piedrahita (Ávila), Convento del Risco, hasta 1839; Museo de la Trinidad.","https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/6a1137df-7750-40e6-9760-7dcd7b9fcacf?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/6a/6a11/6a1137df-7750-40e6-9760-7dcd7b9fcacf/ce5db247-f9ff-4685-a3a0-5eeb72e0ca3d.jpg","data/images/P001921.jpg","La Virgen con el Niño - Petrus Christus (Hacia 1450)  https://www.museodelprado.es/coleccion/obra-de-arte/la-virgen-con-el-nio/6a1137df-7750-40e6-9760-7dcd7b9fcacf?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
385,"P002861","Alonso Sánchez Coello","Alegoría mística con san Sebastián, san Bernardo y san Francisco","1582","Óleo","Tabla","Alto: 280 cm.; Ancho: 170 cm.","Colección Real (Madrid, Monasterio de San Jerónimo el Real)","https://www.museodelprado.es/coleccion/obra-de-arte/alegoria-mistica-con-san-sebastian-san-bernardo-y/1563c287-60a8-4e49-aac5-5fad40aecdf4?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/15/1563/1563c287-60a8-4e49-aac5-5fad40aecdf4/36e43db3-a964-4957-a3e2-745ac02a16d8.jpg","data/images/P002861.jpg","Alegoría mística con san Sebastián, san Bernardo y san Francisco - Alonso Sánchez Coello (1582)  https://www.museodelprado.es/coleccion/obra-de-arte/alegoria-mistica-con-san-sebastian-san-bernardo-y/1563c287-60a8-4e49-aac5-5fad40aecdf4?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
425,"P002444","El Greco (y taller)","San Juan Evangelista","Hacia 1605","Óleo","Lienzo","Alto: 99,7 cm.; Ancho: 78 cm.","Donación de Cesar Cabañas Caballero, 1921.","https://www.museodelprado.es/coleccion/obra-de-arte/san-juan-evangelista/b107d798-268f-41aa-8b4c-f47eff9c1768?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/b1/b107/b107d798-268f-41aa-8b4c-f47eff9c1768/b4024a05-e08c-41e8-8012-6cd478c20fc1.jpg","data/images/P002444.jpg","San Juan Evangelista - El Greco (y taller) (Hacia 1605)  https://www.museodelprado.es/coleccion/obra-de-arte/san-juan-evangelista/b107d798-268f-41aa-8b4c-f47eff9c1768?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
2169,"O002725","Wierick Somers I","Bandeja representando la fábula de Cupido y Psique","Hacia 1629","Cincelado","Plata","Alto: 34 cm.; Ancho: 44 cm.; Peso: 920 g.","Adquisición, 1995","https://www.museodelprado.es/coleccion/obra-de-arte/bandeja-representando-la-fabula-de-cupido-y-psique/d99a5587-8340-4542-b4fb-1a8c80ba96d6?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/d9/d99a/d99a5587-8340-4542-b4fb-1a8c80ba96d6/65798045-2954-46a0-86b4-42acc1abae73.jpg","data/images/O002725.jpg","Bandeja representando la fábula de Cupido y Psique - Wierick Somers I (Hacia 1629)  https://www.museodelprado.es/coleccion/obra-de-arte/bandeja-representando-la-fabula-de-cupido-y-psique/d99a5587-8340-4542-b4fb-1a8c80ba96d6?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1809,"E000361","Taller italiano","Pseudo Vitelio","1530 - 1550","Esculpido","Mármol","Alto: 40 cm.; Ancho: 27 cm.; Fondo: 24 cm.; Peso: 30,8 Kg.","Colección Diego Hurtado de Mendoza; Colección Real (colección Felipe II, Real Alcázar, Madrid).","https://www.museodelprado.es/coleccion/obra-de-arte/pseudo-vitelio/baf027de-a63b-46ae-9c98-6a8306fd1ffb?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/ba/baf0/baf027de-a63b-46ae-9c98-6a8306fd1ffb/cd6f9543-67d4-44d6-9109-5f72513aef5e.jpg","data/images/E000361.jpg","Pseudo Vitelio - Taller italiano (1530 - 1550)  https://www.museodelprado.es/coleccion/obra-de-arte/pseudo-vitelio/baf027de-a63b-46ae-9c98-6a8306fd1ffb?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1889,"E000624","Ramón Barba","Alonso Berruguete","1830","Esculpido","Mármol","Alto: 90 cm.; Ancho: 90 cm.","Encargo del Museo del Prado, 1828","https://www.museodelprado.es/coleccion/obra-de-arte/alonso-berruguete/c5451bdf-a741-4abc-bc59-515a61925723?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/c5/c545/c5451bdf-a741-4abc-bc59-515a61925723/bff0139e-d3d2-46cc-8c81-3bf60bb94d1a.jpg","data/images/E000624.jpg","Alonso Berruguete - Ramón Barba (1830)  https://www.museodelprado.es/coleccion/obra-de-arte/alonso-berruguete/c5451bdf-a741-4abc-bc59-515a61925723?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1901,"E000850","Ramón Barba","José de Ribera","1830","Esculpido","Mármol","Alto: 90 cm.; Fondo: 90 cm.","Encargo del Museo del Prado, 1828","https://www.museodelprado.es/coleccion/obra-de-arte/jose-de-ribera/60428007-98fd-4564-99ba-8b8c2cce1544?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/60/6042/60428007-98fd-4564-99ba-8b8c2cce1544/3bbe5898-432c-4a7f-a0f1-7d10a5a75139.jpg","data/images/E000850.jpg","José de Ribera - Ramón Barba (1830)  https://www.museodelprado.es/coleccion/obra-de-arte/jose-de-ribera/60428007-98fd-4564-99ba-8b8c2cce1544?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
1790,"E000076","Taller romano","Homero ciego","Tercer cuarto del siglo II","Esculpido","Mármol blanco","Alto: 53 cm.; Ancho: 24 cm.; Fondo: 26 cm.; Peso: 36,28 Kg.","Colección Real","https://www.museodelprado.es/coleccion/obra-de-arte/homero-ciego/6dc65c33-9ec4-4e08-bb7d-b8939484e6dc?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/6d/6dc6/6dc65c33-9ec4-4e08-bb7d-b8939484e6dc/ebc1e5e9-b307-4633-80f6-3e7a80ee2770.jpg","data/images/E000076.jpg","Homero ciego - Taller romano (Tercer cuarto del siglo II)  https://www.museodelprado.es/coleccion/obra-de-arte/homero-ciego/6dc65c33-9ec4-4e08-bb7d-b8939484e6dc?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
202,"P000020","Vincenzo Catena","Cristo entregando las llaves a San Pedro","Hacia 1520","Óleo","Tabla","Alto: 86 cm.; Ancho: 135 cm.","Colección Real (Real Monasterio de San Lorenzo, El Escorial-Madrid, sacristía, 1839)","https://www.museodelprado.es/coleccion/obra-de-arte/cristo-entregando-las-llaves-a-san-pedro/39fa51f6-a9bf-4472-bf6d-669c26554185?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/39/39fa/39fa51f6-a9bf-4472-bf6d-669c26554185/7531ebc5-7828-44ce-b506-2ebf4c13f4c7.jpg","data/images/P000020.jpg","Cristo entregando las llaves a San Pedro - Vincenzo Catena (Hacia 1520)  https://www.museodelprado.es/coleccion/obra-de-arte/cristo-entregando-las-llaves-a-san-pedro/39fa51f6-a9bf-4472-bf6d-669c26554185?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
262,"P000412","Vecellio di Gregorio Tiziano","El caballero del reloj","Hacia 1550","Óleo","Lienzo","Alto: 122 cm.; Ancho: 101 cm.","Colección Real (Palacio Real Nuevo, Madrid, primera sala de la Furriera, 1747, nº 28; Palacio Real Nuevo, Madrid, antecámara de Su Majestad, 1772, nº 28; Palacio Real Nuevo, Madrid, antecámara, 1794, nº 28; Palacio Real, Madrid, antecámara, 1814-1818, nº 28).","https://www.museodelprado.es/coleccion/obra-de-arte/el-caballero-del-reloj/e5a31eab-2c59-4962-9a9f-59ceb8c11e62?searchid=83271039-90f4-7875-dc29-c302c2590974","https://content3.cdnprado.net/imagenes/Documentos/imgsem/e5/e5a3/e5a31eab-2c59-4962-9a9f-59ceb8c11e62/2953ac78-d58d-4d44-84be-4c66351c9363.jpg","data/images/P000412.jpg","El caballero del reloj - Vecellio di Gregorio Tiziano (Hacia 1550)  https://www.museodelprado.es/coleccion/obra-de-arte/el-caballero-del-reloj/e5a31eab-2c59-4962-9a9f-59ceb8c11e62?searchid=83271039-90f4-7875-dc29-c302c2590974",TRUE,FALSE
